latitude,housing_median_age,population,households,median_income,ocean_proximity,median_house_value,all_rooms_amount
37.88,41,322,126,8.3252,NEAR BAY,452600,1009
37.86,21,2401,1138,8.3014,NEAR BAY,358500,8205
37.85,52,496,177,7.2574,NEAR BAY,352100,1657
37.85,52,558,219,5.6431,NEAR BAY,341300,1509
37.85,52,565,259,3.8462,NEAR BAY,342200,1907
37.85,52,413,193,4.0368,NEAR BAY,269700,1132
37.84,52,1094,514,3.6591,NEAR BAY,299200,3024
37.84,52,1157,647,3.12,NEAR BAY,241400,3791
37.84,42,1206,595,2.0804,NEAR BAY,226700,3220
37.84,52,1551,714,3.6912,NEAR BAY,261100,4256
37.85,52,910,402,3.2031,NEAR BAY,281500,2636
37.85,52,1504,734,3.2705,NEAR BAY,241800,4255
37.85,52,1098,468,3.075,NEAR BAY,213500,2965
37.84,52,345,174,2.6736,NEAR BAY,191300,887
37.85,52,1212,620,1.9167,NEAR BAY,159200,3269
37.85,50,697,264,2.125,NEAR BAY,140000,1403
37.85,52,793,331,2.775,NEAR BAY,152500,2313
37.85,52,648,303,2.1202,NEAR BAY,155500,1521
37.84,50,990,419,1.9911,NEAR BAY,158700,2694
37.84,52,690,275,2.6033,NEAR BAY,162900,1801
37.85,40,409,166,1.3578,NEAR BAY,147500,935
37.85,42,929,366,1.7135,NEAR BAY,159800,2006
37.84,52,1015,478,1.725,NEAR BAY,113900,2977
37.84,52,853,325,2.1806,NEAR BAY,99700,2025
37.84,52,1006,422,2.6,NEAR BAY,132600,2661
37.85,41,317,119,2.4038,NEAR BAY,107500,658
37.85,49,607,239,2.4597,NEAR BAY,93800,1374
37.85,52,1102,397,1.808,NEAR BAY,105500,2319
37.84,50,1131,473,1.6424,NEAR BAY,108900,2574
37.84,52,395,155,1.6875,NEAR BAY,132000,889
37.84,49,863,378,1.9274,NEAR BAY,122300,2363
37.84,52,1168,441,1.9615,NEAR BAY,115200,2634
37.84,48,1026,335,1.7969,NEAR BAY,110400,2331
37.83,49,754,329,1.375,NEAR BAY,104900,2021
37.83,51,1258,536,2.7303,NEAR BAY,109700,3239
37.83,49,570,264,1.4861,NEAR BAY,97200,1497
37.83,48,987,374,1.0972,NEAR BAY,104500,2230
37.83,52,901,403,1.4103,NEAR BAY,103900,1901
37.83,52,689,309,3.48,NEAR BAY,191400,1800
37.83,52,1377,696,2.5898,NEAR BAY,176000,3147
37.83,52,946,395,2.0978,NEAR BAY,155400,2084
37.83,51,517,249,1.2852,NEAR BAY,150000,1247
37.84,49,462,189,1.025,NEAR BAY,118800,915
37.84,52,467,198,3.9643,NEAR BAY,188800,1152
37.83,52,660,292,3.0125,NEAR BAY,184400,1754
37.83,52,718,382,2.6768,NEAR BAY,182300,2076
37.83,50,616,304,2.026,NEAR BAY,142500,1447
37.82,43,558,253,1.7348,NEAR BAY,137500,1319
37.82,40,423,160,0.9506,NEAR BAY,187500,819
37.82,40,700,352,1.775,NEAR BAY,112500,1321
37.82,21,735,438,0.9218,NEAR BAY,171900,1349
37.82,43,1061,407,1.5045,NEAR BAY,93800,2324
37.82,41,1959,720,1.1108,NEAR BAY,97500,4074
37.82,52,1162,400,1.2475,NEAR BAY,104200,2086
37.82,52,701,233,1.6098,NEAR BAY,87500,1405
37.82,52,576,220,1.4113,NEAR BAY,83100,1188
37.82,52,622,259,1.5057,NEAR BAY,87500,1526
37.82,52,728,244,0.8172,NEAR BAY,85300,1824
37.82,52,1074,304,1.2171,NEAR BAY,80300,1728
37.82,2,94,57,2.5625,NEAR BAY,60000,201
37.83,52,554,187,3.3929,NEAR BAY,75700,1332
37.82,49,86,23,6.1183,NEAR BAY,75000,164
37.81,50,377,122,0.9011,NEAR BAY,86100,950
37.81,52,521,159,1.191,NEAR BAY,76100,1461
37.81,48,392,133,2.5938,NEAR BAY,73500,1010
37.81,52,604,187,1.1667,NEAR BAY,78400,1219
37.81,48,788,332,0.8056,NEAR BAY,84400,1809
37.8,52,492,147,2.6094,NEAR BAY,81300,1271
37.81,52,274,82,1.8516,NEAR BAY,85000,681
37.81,46,1823,611,0.9802,NEAR BAY,129200,3445
37.81,26,392,127,1.7719,NEAR BAY,82500,920
37.81,46,582,277,0.7286,NEAR BAY,95200,1232
37.81,49,560,152,1.75,NEAR BAY,75000,1048
37.81,46,18,7,0.4999,NEAR BAY,67500,16
37.81,20,290,133,2.483,NEAR BAY,137500,996
37.81,17,762,439,0.9241,NEAR BAY,177500,1699
37.81,36,1236,509,2.4464,NEAR BAY,102100,3476
37.81,19,721,207,1.1111,NEAR BAY,108300,1450
37.81,23,1054,325,0.8026,NEAR BAY,112500,2119
37.8,38,344,155,2.0114,NEAR BAY,131300,860
37.81,17,609,289,1.5,NEAR BAY,162500,1213
37.81,52,183,56,1.1667,NEAR BAY,112500,266
